SHOP CODE,SHOP NAME,IP ADDRESS
1002,Spar Northgate,172.26.10.2
1003,Spar Kudya,172.26.12.2
1019,Spar Mibawa,172.26.11.2
1028,PCC Balaka,172.26.18.2
1037,Metro Limbe,172.26.14.2
1073,Spar Victoria Avenue,172.26.2.2
1082,Spar Nandos,172.26.4.2
1091,PCC Mwanza,172.26.27.2
1110,PCC Machinjiri,172.26.28.2
1127,Express Kabula,172.26.24.2
1136,Metro Blantyre,172.26.5.2
1154,Express Namiwawa,172.26.6.2
1163,Express Nyambadwe,172.26.23.2
1181,Express Kameza,172.26.53.2
1199,PCC Chitawira,172.26.1.2
1208,PCC Phalombe,172.26.17.2
1217,PCC Thyolo,172.26.25.2
1226,PCC Nchalo,172.26.9.2
1235,PCC Luchenza,172.26.52.2
1253,Supersave Limbe,172.26.3.2
1262,PCC Mulanje,172.26.31.2
1289,Metro Mangochi,172.26.29.2
1298,PCC Zomba,172.26.15.2
1334,PCC Liwonde,172.26.20.2
1361,PCC Malangalanga,172.26.13.2
1370,Express Area 12,172.26.35.2
1407,Spar City Center,172.26.7.250
1415,Spar Nico Center,172.26.8.2
1420,Express Crossroads,172.26.22.2
1424,PCC Kanengo,172.26.37.2
1433,PCC Area 18,172.26.36.2
1442,PCC Nkhatabay,172.26.40.2
1451,PCC Ntcheu,172.26.30.2
1460,PCC Dedza,172.26.32.2
1469,PCC Salima,172.26.39.2
1487,PCC Dwangwa,172.26.41.2
1490,Kasasa,172.26.51.2
1514,Supersave Lilongwe,172.26.33.2
1523,PCC Mchinji,172.26.38.2
1545,Express Kanengo,172.26.21.2
1595,PCC Kasungu,172.26.49.2
1622,PCC Mponela,172.26.50.2
1640,Supersave Mzuzu,172.25.2.102
1676,Metro Mzuzu,172.25.2.52
1685,PCC Mzimba,172.26.44.2
1694,PCC Jenda,172.26.43.2
1721,PCC Rumphi,172.26.46.2
1730,PCC Karonga,172.26.48.2
1748,PCC Nkhatabay,172.26.45.2
1757,PCC Uliwa,172.26.47.2
