#,branchid,branchname,email,sales_status,purchases_status,reason
1,1073,SPAR VICTORIA AVE,victoria1073@stores.ptcmw.com,DONE,NOT DONE,
2,1082,SPAR Brantyre,nandos1082@stores.ptcmw.com,DONE,NOT DONE,
3,1091,PCC MWANZA,mwanza1091@stores.ptcmw.com,NOT DONE,NOT DONE,Connectivity issue.
4,1110,PCC MACHINJIRI,machinjiri1110@stores.ptcmw.com,CLOSED,NOT DONE,
5,1127,EXPRESS KABULA,kabula1127@stores.ptcmw.com,DONE,NOT DONE,
6,1136,METRO BLANTYRE,metro1136@stores.ptcmw.com,DONE,NOT DONE,
7,1154,EXPRESS NAMIWAWA,namiwawa1154@stores.ptcmw.com,DONE,DONE,
8,1163,EXPRESS NYAMBADWE,nyambadwe1163@stores.ptcmw.com,DONE,NOT DONE,
9,1181,EXPRESS KAMEZA,kameza1181@stores.ptcmw.com,DONE,NOT DONE,
10,1199,SUPERSAVE CHITAWIRA,chitawira1199@stores.ptcmw.com,DONE,NOT DONE,
11,1208,PCC PHALOMBE,phalombe1208@stores.ptcmw.com,CLOSED,NOT DONE,
12,1217,PCC THYOLO,thyolo1217@stores.ptcmw.com,DONE,NOT DONE,
13,1226,PCC NCHALO,nchalo1226@stores.ptcmw.com,CLOSED,NOT DONE,
14,1019,SPAR MIBAWA,mibawa1019@stores.ptcmw.com,DONE,NOT DONE,
15,1235,PCC LUCHENZA,luchenza1235@stores.ptcmw.com,CLOSED,NOT DONE,
16,1253,SUPERSAVE LIMBE,limbe1253@stores.ptcmw.com,DONE,NOT DONE,
17,1262,PCC MULANJE,mulanje1262@stores.ptcmw.com,DONE,DONE,Connectivity issue.
18,1289,METRO MANGOCHI,mangochi1289@stores.ptcmw.com,DONE,NOT DONE,
19,1298,METRO ZOMBA,metrozomba1298@stores.ptcmw.com,DONE,NOT DONE,
21,1334,PCC LIWONDE,liwonde1334@stores.ptcmw.com,DONE,NOT DONE,
22,1361,PCC MALANGALANGA,malangalanga1361@stores.ptcmw.com,DONE,NOT DONE,
23,1370,EXPRESS AREA 12,area121370@stores.ptcmw.com,DONE,NOT DONE,
24,1028,METRO BALAKA,balaka1028@stores.ptcmw.com,DONE,NOT DONE,
25,1407,SPAR CITY CENTER LL,sparcc1407@stores.ptcmw.com,DONE,NOT DONE,
26,1415,METRO NICO CENTRE,nico1415@stores.ptcmw.com,DONE,NOT DONE,
27,1424,PCC KANENGO,kanengo1424@stores.ptcmw.com,CLOSED,NOT DONE,
28,1433,PCC AREA 18,area181433@stores.ptcmw.com,DONE,NOT DONE,
29,1442,PCC NKHOTAKOTA,nkhotakota1442@stores.ptcmw.com,CLOSED,NOT DONE,
30,1451,PCC NTCHEU,ntcheu1451@stores.ptcmw.com,DONE,NOT DONE,
31,1460,PCC DEDZA,dedza1460@stores.ptcmw.com,DONE,NOT DONE,
32,1469,PCC SALIMA,salima1469@stores.ptcmw.com,DONE,NOT DONE,
33,1037,PCC LIMBE,limbepcc1037@stores.ptcmw.com,DONE,NOT DONE,
34,1487,PCC DWANGWA,dwangwa1487@stores.ptcmw.com,NOT DONE,NOT DONE,Connectivity issue.
35,1514,SUPERSAVE LILONGWE,supersavell1514@stores.ptcmw.com,NOT DONE,NOT DONE,Connectivity issue.
36,1523,PCC MCHINJI,mchinji1523@stores.ptcmw.com,NOT DONE,NOT DONE,Connectivity issue.
39,1595,PCC KASUNGU,kasungu1595@stores.ptcmw.com,DONE,NOT DONE,
40,1622,PCC MPONELA,mponela1622@stores.ptcmw.com,CLOSED,NOT DONE,
41,1640,METRO MZUZU,metromz1640@stores.ptcmw.com,CLOSED,NOT DONE,
42,1676,SUPERSAVE MZUZU,supersavemz1676@stores.ptcmw.com,DONE,NOT DONE,
43,1685,PCC MZIMBA,mzimba1685@stores.ptcmw.com,DONE,NOT DONE,
44,1694,PCC JENDA,jenda1694@stores.ptcmw.com,CLOSED,NOT DONE,
45,1721,PCC RUMPHI,rumphi1721@stores.ptcmw.com,CLOSED,NOT DONE,
46,1730,PCC KARONGA,karonga1730@stores.ptcmw.com,DONE,NOT DONE,
47,1748,PCC NKHATA BAY,nkhatabay1748@stores.ptcmw.com,DONE,NOT DONE,
48,1757,PCC ULIWA,uliwa1757@stores.ptcmw.com,DONE,NOT DONE,
49,1002,SPAR Northgate,northgate1002@stores.ptcmw.com,DONE,NOT DONE,
50,1003,SPAR Kudya,kudya1003@stores.ptcmw.com,DONE,NOT DONE,
51,1420,CROSSROADS,crossroads1420@stores.ptcmw.com,DONE,DONE,
52,1490,KASASA,kasasa1490@stores.ptcmw.com,NOT DONE,NOT DONE,Connectivity issue.
53,1545,KANENGO EXPRESS,kanengo1545@stores.ptcmw.com,DONE,DONE,
54,4046,FRESH FOODS BT,freshfoods4046@stores.ptcmw.com,,NOT DONE,
55,1082,SPAR NANDOS,nandos1082@stores.ptcmw.com,DONE,NOT DONE,
